DICDNet Image Quality Evaluation by Metal Size
Date: 2025-05-12 13:01:05
Results Directory: /home/mcosta/PycharmProjects/DICDNet/DICDNet/save_results
Model Evaluated: DICDNet
Total GT files found: 2000
Total files processed and metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.55 ± 3.49         0.9770 ± 0.0054       27.34 ± 1.51         0.9432 ± 0.0132
Large-Med   ({688, 1329}px)     400       38.48 ± 3.28         0.9848 ± 0.0033       30.30 ± 1.94         0.9624 ± 0.0093
Medium      ({182, 371}px)      400       42.10 ± 3.67         0.9896 ± 0.0021       33.11 ± 1.70         0.9700 ± 0.0066
Med-Small   ({171, 180}px)      400       44.74 ± 2.75         0.9914 ± 0.0021       35.49 ± 2.15         0.9736 ± 0.0073
Small       ({54, 84}px)        400       45.35 ± 2.26         0.9919 ± 0.0016       35.98 ± 1.32         0.9746 ± 0.0064
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all processed files) ---
PSNR(img): 41.25 ± 4.88 (from 2000 images)
SSIM(img): 0.9869 ± 0.0064
PSNR(hu):  32.44 ± 3.69
SSIM(hu):  0.9648 ± 0.0146

--- Individual File Metrics Log ---
Filename            Prefix     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
230_gt_image.png    230              9       180      G2       45.67      0.9908       33.26      0.9677
231_gt_image.png    231              0       371      G3       40.41      0.9894       34.28      0.9683
232_gt_image.png    232              1      1338      G5       28.07      0.9754       27.41      0.9443
233_gt_image.png    233              2       688      G4       32.89      0.9832       30.34      0.9586
234_gt_image.png    234              3        84      G1       47.39      0.9912       36.15      0.9695
235_gt_image.png    235              4       171      G2       47.45      0.9923       38.06      0.9735
236_gt_image.png    236              5        54      G1       45.35      0.9913       36.00      0.9730
237_gt_image.png    237              6      1329      G4       40.91      0.9889       32.89      0.9629
238_gt_image.png    238              7      3119      G5       38.59      0.9839       30.26      0.9400
239_gt_image.png    239              8       182      G3       45.07      0.9891       33.38      0.9649
240_gt_image.png    240              9       180      G2       46.13      0.9895       34.26      0.9632
241_gt_image.png    241              0       371      G3       41.81      0.9892       32.74      0.9664
242_gt_image.png    242              1      1338      G5       26.23      0.9719       27.20      0.9422
243_gt_image.png    243              2       688      G4       39.67      0.9851       29.72      0.9563
244_gt_image.png    244              3        84      G1       44.46      0.9918       36.09      0.9676
245_gt_image.png    245              4       171      G2       44.70      0.9930       37.97      0.9727
246_gt_image.png    246              5        54      G1       47.12      0.9919       35.95      0.9717
247_gt_image.png    247              6      1329      G4       45.54      0.9898       33.69      0.9626
248_gt_image.png    248              7      3119      G5       42.82      0.9858       31.00      0.9398
249_gt_image.png    249              8       182      G3       46.43      0.9907       34.28      0.9667
250_gt_image.png    250              9       180      G2       46.26      0.9912       35.33      0.9649
251_gt_image.png    251              0       371      G3       40.81      0.9898       34.31      0.9694
252_gt_image.png    252              1      1338      G5       25.80      0.9727       28.59      0.9483
253_gt_image.png    253              2       688      G4       27.87      0.9777       29.85      0.9588
254_gt_image.png    254              3        84      G1       44.09      0.9911       35.90      0.9688
255_gt_image.png    255              4       171      G2       48.72      0.9929       37.89      0.9733
256_gt_image.png    256              5        54      G1       46.25      0.9919       36.27      0.9737
257_gt_image.png    257              6      1329      G4       41.71      0.9891       32.53      0.9623
258_gt_image.png    258              7      3119      G5       40.36      0.9835       29.15      0.9361
259_gt_image.png    259              8       182      G3       45.08      0.9900       33.68      0.9674
260_gt_image.png    260              9       180      G2       44.01      0.9898       33.55      0.9652
261_gt_image.png    261              0       371      G3       44.27      0.9920       31.82      0.9726
262_gt_image.png    262              1      1338      G5       36.85      0.9814       25.93      0.9490
